"!Template name","LANG_SE","LANG_EN"
"_listReallyDeleteDialogBody","Är du säker på att du vill ta bort följande dokument från papperskorgen? Detta betyder att de försvinner permanent, och du kommer inte kunna återställa dem.","Are you sure you want to remove the selected documents from the rubbish bin?  This will mean the documents are permanently deleted, and you will not be able to restore them."
"_listReallyDeleteDialogHead","Radera permanent","Permanent Delete"
"_listRestoreDialogBody","Vill du återsätlla följande dokument?","Would you like to restore the selected documents?"
"_listRestoreDialogHead","Återställ","Restore"
"_restore","Återställ","Restore"
