"!Template name","LANG_SE","LANG_EN"
"_SortAttachment","Bilaga","Attachment"
"_pageAttachmentListIfShared","Delad","Shared"
"_pageAttachmentListNewAttachment","Nya Bilagor","New attachments"
"_pageAttachmentListSearchInfo","Sök dokument","Search document"
"_pageAttachmentListShare","Dela","Share"
