"!Template name","LANG_SE","LANG_EN"
"_CantRemoveActiveDocuments","Det går inte att radera dokument som är skickade eller öppna,
 var vänlig och återkalla dokumentet först.","You cannot delete documents that are sent or open, please withdraw
 the document first."
"_ReminderBodyIfMulti","	            Är du säker att du vill skicka en påminnelse til
 berörda parter för ","Are you sure you want to send reminders to the parties involved
 in the "
"_ReminderBodyIfMulti2"," dokument.          "," documents?          "
"_ReminderBodyIfSingel","	            Är du säker att du vill skicka en påminnelse til
 berörda parter i dokumentet ","Are you sure you want to send a reminder to the parties involved
 in the document "
