"!Template name","LANG_SE","LANG_EN"
"_pageDocumentForViewerHelpersPartyName","Namn på avtalspart","Name of party"
"_signatoryname","Fullständigt namn","Full name"
"_signatoryremove","Ta bort","Remove"
