"!Template name","LANG_SE","LANG_EN"
"_PleaseAcceptTOS","Vänligen acceptera användarvillkoren","Please accept the Terms of Service"
"_ReadUnderstoodTOS","Jag har läst och accepterar SkrivaPå Allmänna Villkor","I have read and accept Scrive Terms of Service"
