"!Template name","LANG_SE","LANG_EN"
"_MailAPIActiveEmail","Aktiva e-postadresser:","Active email addresses:"
"_MailAPIEnable","Aktivera Mail API","Enable Mail API"
,,
"_MailAPILimitHead","Begränsningar","Limits"
"_MailAPILimitsDaily","Daglig begränsning för processade mail","Daily limit of processed e-mails"
"_MailAPILimitsProcessedToday","Mail processade idag:","Emails processed today:"
"_MailAPILimitsResetToday","Återställ mail processade idag","Reset counter of e-mails processed today"
"_MailAPIResetKey","API-nyckel","Reset API key"
"_MailAPISettings","Inställningar","Settings"
