"!Template name","LANG_SE","LANG_EN"
"_English"," Engelska ","English"
"_LanguageSettings","Språkinställningar","Language settings"
"_NewPassword","Nytt lösenord:","New password:"
"_PresentPassword","Nuvarande lösenord:","Present password:"
"_RepeatNewPassword","Upprepa nytt lösenord:","Repeat new password:"
"_SaveSettings","Spara inställningar","Save changes"
"_Swedish"," Svenska ","Swedish"
"_UserLanguage","Användarspråk:","User language:"
